"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"20 Microns","Mining / Minerals / Metals","777.49","56.16","212.34","13.66","22.54","588.44","121.37","17.75","225.65"
"21st Cent. Mgmt.","Finance & Investments","34.92","32.23","18.18","16.96","478.75","59.78","4.17","88.07","70.44"
"360 ONE","Finance & Investments","2920.91","804.21","791.74","242.61","64.2","15114.36","9471.93","24.47","997.6"
"3B Blackbio","Healthcare","74.12","32.1","23.0","8.79","27.0","248.1","0.85","16.28","1184.5"
"3C IT Solutions","Computers - Software - Medium / Small","61.93","1.14","0","0","0","28.85","13.4","33.98","44.1"
"3i Infotech","Computers - Software - Medium / Small","813.88","-298.27","197.04","-99.08","3.45","663.99","84.48","-15.71","36.75"
"3M India","Diversified - Large","3926.76","536.27","1032.72","161.24","4.69","3398.54","17.93","24.84","37310.0"
"3P Land Hold.","Finance & Investments","3.56","1.81","0.89","0.36","89.36","104.35","0.0","2.2","38.0"
"52 Weeks Enter.","Entertainment / Electronic Media Software","0.28","0.17","0.0","-0.03","0","19.9","3.62","1.07","1.69"
"5Paisa Capital","Finance & Investments","394.57","54.44","112.86","5.78","24.58","2047.85","336.32","10.85","514.3"
"63 Moons Tech.","Computers - Software - Medium / Small","472.11","209.76","37.53","3.82","-66.37","3645.3","5.17","6.49","378.2"
"7NR Retail Ltd","Trading","11.62","-1.11","1.0","-0.23","-90.38","43.32","5.27","-3.79","5.23"
"7Seas Enter.","Computers - Software - Medium / Small","11.79","0.96","3.17","0.21","193.52","10.87","0.36","20.69","60.36"
"A B B","Electric Equipment","11115.67","1456.45","3080.36","459.29","27.75","11001.19","48.98","22.92","8531.0"
"A B Infrabuild","Construction","183.81","11.42","75.87","4.41","0","156.62","21.43","33.15","55.0"
"A B M Internatl.","Trading","93.64","-3.42","15.64","-0.21","-32.21","39.15","10.05","-20.7","61.99"
"A F Enterprises","Trading","8.5","-0.01","5.35","0.33","-73.72","134.68","6.64","0.0","10.91"
"A G Universal","Trading","78.37","1.92","38.29","1.2","0","48.15","15.47","28.32","64.4"
"A K Spintex","Textiles - Processing","117.24","8.45","30.54","2.1","-5.51","68.57","7.14","24.32","259.4"
"A R C Finance","Finance & Investments","9.24","0.27","7.82","0.07","72.25","71.5","16.08","0.53","1.18"
"A-1 Acid","Trading","206.14","1.1","60.43","0.75","-15.62","63.51","10.74","2.29","346.0"
"A.K.Capital Serv","Finance & Investments","518.54","92.52","146.73","30.21","26.2","3806.35","2753.92","10.43","1051.0"
"A2Z Infra Engg.","Engineering - Turnkey Services","388.49","-7.36","97.97","-0.46","8.0","682.96","197.95","-132.12","21.67"
"AA Plus Trade","Trading","19.95","0.51","10.98","0.24","0","26.78","1.33","4.1","20.0"
"AAA Technologies","Computers - Software - Medium / Small","23.79","3.21","9.4","0.11","-21.6","29.39","0.0","12.03","110.9"
"Aadhar Hsg. Fin.","Finance - Housing","2586.81","749.64","691.79","201.76","24.55","19093.06","13959.62","18.4","416.5"
"Aadi Industries","Plastics Products","0.0","-0.09","0.0","0.08","0","0.19","6.83","0","6.86"
"Aakash Explor.","Oil Drilling / Allied Services","92.23","6.21","30.89","3.51","56.72","93.76","18.11","11.21","14.16"
"Aananda Lakshmi","Construction","2.1","4.08","0.06","-1.38","0","13.35","21.37","0","14.58"
"Aanchal Ispat","Steel - Medium / Small","109.35","-6.25","47.26","1.21","-15.11","116.99","84.11","-31.23","6.14"
"Aarey Drugs","Pharmaceuticals - Indian - Bulk Drugs","395.62","4.68","210.35","2.15","29.14","304.99","31.35","3.78","45.65"
"Aarnav Fashions","Textiles - Products","356.49","5.62","100.19","2.2","-10.46","390.51","109.26","3.2","47.85"
"Aaron Industries","Engineering","63.23","6.33","19.08","2.33","18.8","74.68","31.57","22.48","263.2"
"Aartech Solonics","Electric Equipment","32.74","1.32","9.98","-0.38","252.65","41.12","4.2","4.46","200.4"
"Aarti Drugs","Pharmaceuticals - Indian - Bulk Drugs","2528.58","171.59","619.99","47.31","-16.49","2432.36","564.28","13.86","524.6"
"Aarti Industries","Chemicals","6372.0","416.0","1773.0","132.0","7.07","9616.0","3242.0","8.15","693.85"
"Aarti Pharma","Pharmaceuticals - Indian - Bulk Drugs & Formln","1852.61","216.9","505.77","65.25","4.27","2582.1","285.25","13.08","608.0"
"Aarti Surfactant","Chemicals","589.86","22.27","158.55","5.59","0.45","423.41","99.21","11.5","682.35"
"Aarvee Denims","Textiles - Cotton/Blended","84.73","-44.62","24.0","-6.46","-51.92","438.49","277.65","-113.54","28.21"
"Aarvi Encon","Miscellaneous","406.15","11.34","103.11","3.04","-3.0","171.02","9.75","10.09","139.27"
"Aashka Hospitals","Healthcare","22.87","2.36","12.07","1.93","0","121.45","20.39","2.51","117.15"
"AastamangalamFin","Finance & Investments","7.03","3.6","2.21","1.19","92.17","80.56","40.22","11.75","44.23"
"Aatmaj Health","Healthcare","15.74","0.88","7.17","-1.41","0","57.68","5.48","6.21","26.25"
"AAVAS Financiers","Finance - Housing","2017.5","490.69","546.02","142.62","21.47","16519.45","12398.31","13.93","1866.65"
"Aayush Food&Herb","Trading","0.6","0.57","0.0","0.17","-100.0","5.02","0.0","12.22","299.0"
"AB Cotspin","Textiles - Cotton/Blended","255.77","6.7","144.75","4.72","0","198.05","121.67","15.74","259.0"
"Aban Offshore","Oil Drilling / Allied Services","399.67","-1317.84","137.47","-340.14","88.44","1515.04","15307.87","0","65.5"
"ABans Enterprise","Trading","1770.84","9.75","565.61","-1.52","64.8","445.13","155.03","5.14","132.2"
"Abans Holdings","Finance & Investments","1378.34","89.24","252.32","21.17","-55.91","2897.39","928.97","9.3","487.3"
"Abate As Indust","Trading","0.0","-0.91","0.0","-0.16","0","0.33","1.22","0","28.7"
"Abbott India","Pharmaceuticals - Multinational","5848.91","1201.22","1438.63","287.06","7.11","5193.49","83.23","34.88","27674.35"
"ABC Gas (Int.)","Trading","0.01","0.21","0.0","0.63","0","4.03","0.0","-14.79","91.58"
"ABC India","Miscellaneous","164.59","2.28","39.67","0.16","7.22","98.63","20.66","5.07","112.3"
"Abhinav Capital","Finance & Investments","15.29","9.26","2.31","0.82","-1.28","122.25","37.5","13.47","207.7"
"Abhinav Leasing","Finance & Investments","33.73","0.17","13.77","-1.05","166.86","44.72","30.05","2.97","2.74"
"Abhishek Finle.","Finance & Investments","0.95","0.17","0.22","-0.02","266.67","4.81","0.01","4.86","37.0"
"Abhishek Infra.","Construction","0.0","-0.26","0.0","-0.07","-100.0","7.77","1.21","-6.18","7.14"
"Abhishek Integr.","Construction","25.45","0.77","14.59","0.5","0","16.27","5.62","9.09","69.45"
"Abirami Fin.","Finance & Investments","0.0","1.45","0.0","0.25","0","21.06","0.0","6.75","58.2"
"ABM Knowledge","Computers - Software - Medium / Small","78.65","14.88","23.1","5.84","46.2","253.25","0.0","6.89","148.0"
"ABS Marine","Shipping","135.16","25.41","0","0","0","184.81","45.68","23.02","355.0"
"ACC","Cement - North India","19958.92","2336.53","5408.72","944.84","12.9","23385.64","354.85","14.15","2648.4"
"Accedere","Computers - Software - Medium / Small","2.56","-0.09","0.79","-0.02","51.92","4.67","0.27","-1.71","85.5"
"Accel","Computers - Software - Medium / Small","167.09","3.29","49.87","0.86","1.16","188.26","73.87","5.67","22.42"
"AccelerateBS Ind","Computers - Software - Medium / Small","6.78","0.03","4.07","0.59","0","4.85","0.54","5.5","339.0"
"Accelya Solution","Computers - Software - Medium / Small","505.53","94.77","130.99","0.2","9.65","370.05","11.4","44.25","1744.9"
"Accent Microcell","Pharmaceuticals - Indian - Bulk Drugs & Formln","245.5","30.17","138.63","16.07","0","204.84","12.79","70.14","284.0"
"Accord Synergy","Telecommunications - Service Provider","31.88","0.39","16.32","0.19","0","17.54","0.0","2.7","28.3"
"Accuracy Shippi.","Miscellaneous","708.33","0.5","171.35","9.18","-3.49","278.31","109.29","0.45","13.54"
"ACE EduTremd Ltd","Miscellaneous","0.0","-0.16","0.0","-0.02","0","12.59","0.0","-1.81","3.2"
"Ace Engitech","Computers - Software - Medium / Small","0.0","-0.16","0.0","-0.04","0","0.89","0.0","-25.2","21.56"
"Ace Integrated","Computers - Software - Medium / Small","9.14","0.41","3.32","0.74","50.23","20.44","0.2","2.19","34.19"
"Ace Men","Trading","0.0","0.09","0.0","0.01","-100.0","4.57","0.0","2.35","45.99"
"Ace Soft. Exp.","Computers - Software - Medium / Small","23.72","5.35","17.75","1.82","814.95","39.52","1.9","19.78","243.75"
"Achyut Healthcar","Trading","6.14","0.57","4.65","0.31","0","30.95","0.0","3.92","56.7"
"ACI Infocom","Computers - Software - Medium / Small","0.93","0.09","0.27","0.14","92.86","16.98","0.0","0.53","2.44"
"Acknit Indus.","Textiles - Products","220.66","8.55","68.45","3.07","29.2","155.6","58.56","11.46","312.0"
"Acme Resources","Finance & Investments","9.78","1.71","1.84","-1.44","-91.06","144.33","11.74","1.35","33.1"
"Acrow India","Diversified - Medium / Small","0.0","1.02","0.0","0.19","0","23.81","0.0","4.48","760.0"
"Action Const.Eq.","Engineering","2913.8","328.2","835.84","98.45","36.17","2169.21","4.46","30.55","1462.9"
"Active Clothing","Textiles - Products","212.35","4.86","37.93","1.34","-13.62","220.13","85.89","7.28","100.89"
"AD Manum Finance","Finance & Investments","11.03","7.7","4.68","4.09","457.14","79.29","7.5","11.58","79.4"
"Adani Energy Sol","Power Generation And Supply","16607.36","1195.61","4706.85","381.29","40.18","58538.38","37069.65","8.59","1003.65"
"Adani Enterp.","Trading","96420.98","3335.27","29180.02","352.25","0.82","160586.24","65310.15","9.73","3177.05"
"Adani Green","Power Generation And Supply","9220.0","1260.0","2527.0","310.0","-2.73","88086.0","64858.0","17.07","1781.1"
"Adani Ports","Miscellaneous","26710.56","8103.99","6896.5","2014.77","18.97","116999.2","49166.66","18.06","1481.0"
"Adani Power","Power Generation And Supply","50351.25","20828.79","13363.69","2737.24","30.48","92008.97","34431.07","57.06","719.45"
"Adani Total Gas","Miscellaneous","4474.74","667.5","1166.95","167.96","4.68","6591.86","1557.25","20.46","889.15"
"Adani Wilmar","Solvent Extraction","51261.63","147.98","13238.04","156.75","-4.57","19776.51","2627.5","1.92","333.85"
"Adarsh Plant","Packaging","18.65","0.49","5.46","0.23","31.25","8.93","4.52","40.33","35.8"
"ADC India","Telecommunications - Equipment","178.74","20.69","44.11","6.94","27.78","103.71","0.0","33.69","2098.0"
"Adcon Capital","Finance & Investments","1.68","0.9","0.36","0.22","9.09","33.54","0.0","2.86","0.86"
"Add-Shop E-Reta.","Trading","203.06","3.16","58.38","-6.99","24.5","125.95","12.77","2.91","15.59"
"Addi Industries","Textiles - Products","0.0","4.67","0.0","2.21","0","78.03","0.07","6.17","50.07"
"Addictive Learn","Miscellaneous","63.96","6.53","32.98","2.79","0","78.62","0.0","333.16","307.3"
"Adeshwar Meditex","Healthcare","79.85","2.01","33.59","1.28","0","64.04","13.89","6.11","27.0"
"ADF Foods","Food - Processing - Indian","520.33","73.79","153.63","25.04","24.79","556.05","7.16","17.15","242.2"
"Adhbhut Infra.","Construction","2.56","0.87","0.4","0.07","-69.7","32.4","2.86","0","29.07"
"Adinath Exim Res","Finance & Investments","1.03","0.56","0.26","0.15","4.0","20.35","0.0","3.05","23.88"
"Adinath Textiles","Textiles - Spinning - Synthetic / Blended","0.0","0.48","0.0","0.15","0","4.16","0.01","18.11","25.92"
"Adit.Birla Money","Finance & Investments","390.19","52.97","114.06","16.46","73.05","2116.11","1398.63","38.96","164.8"
"Cell Point","Trading","321.23","1.69","163.49","0.01","0","134.12","48.78","8.42","34.55"
"Aditya AMC","Finance & Investments","1353.19","780.36","365.57","208.38","23.1","3501.85","79.09","27.45","648.0"
"Aditya Bir. Fas.","Textiles - Products","13995.86","-735.91","3406.65","-266.35","18.3","22411.06","9451.4","-18.2","318.25"
"Aditya Birla Cap","Finance & Investments","34505.54","3438.89","10939.96","1288.11","36.32","232101.83","110139.34","14.15","240.1"
"Aditya Consumer","Trading","93.36","-3.07","47.01","-3.23","1.3","39.97","6.3","-11.12","83.5"
"Aditya Ispat","Steel - Medium / Small","62.01","-2.31","18.84","-2.33","-2.53","45.75","33.48","-23.91","10.5"
"Aditya Spinners","Textiles - Spinning - Synthetic / Blended","61.26","1.86","12.91","1.49","-17.51","70.14","15.86","3.88","20.2"
"Aditya Vision","Trading","1743.29","77.07","375.67","7.85","22.66","875.38","318.64","24.74","4498.95"
"Adjia Tech","Computers - Software - Medium / Small","0.33","0.07","0.22","0.1","0","2.34","0.05","3.27","45.49"
"Adline Chem Lab","Pharmaceuticals - Indian - Formulations","0.0","-0.15","0.0","-0.04","0","0.04","1.48","0","13.12"
"Ador Fontech","Electrodes - Welding Equipment","210.13","23.74","55.84","7.49","-3.02","158.47","0.0","18.34","144.1"
"Ador Multi Prod.","Personal Care - Indian","6.73","-4.02","0.82","1.98","-68.58","8.11","0.0","-28.33","34.45"
"Ador Welding","Electrodes - Welding Equipment","883.83","63.19","246.7","18.67","4.76","520.61","44.01","18.43","1405.85"
"Adroit Info.","Computers - Software - Medium / Small","24.86","3.0","7.71","1.83","69.82","47.92","3.45","10.87","18.42"
"Advait Infratech","Construction","208.85","21.88","59.73","7.23","46.18","199.14","59.16","37.63","1695.0"
"Advance Lifes.","Textiles - Jute - Yarn / Products","0.0","0.21","0.0","0.05","-100.0","70.19","40.29","2.65","45.99"
"Advance Meter.","Electric Equipment","16.52","-2.01","2.79","-2.87","-40.89","118.26","12.79","-2.0","38.49"
"Advance Petroch.","Chemicals","35.19","0.22","10.99","0.23","37.89","22.66","8.97","6.06","288.0"
"Advance Syntex","Textiles - Spinning - Synthetic / Blended","0.75","-6.23","0.06","-5.33","-96.7","41.33","32.75","-16.46","7.3"
"Advanced Enzyme","Pharmaceuticals - Indian - Bulk Drugs & Formln","623.87","136.96","157.82","29.87","13.78","1535.46","47.31","11.22","378.95"
"Advani Hotels.","Hotels","105.42","24.96","32.57","10.59","7.0","99.97","1.58","37.08","70.83"
"Advik Capital","Finance & Investments","839.59","6.36","319.83","-0.95","39.73","204.18","78.67","7.43","2.58"
"Aegis Logistics","Trading","7045.92","672.21","1837.17","237.29","-14.73","7929.18","2665.43","15.13","873.85"
"Aeonx Digital","Trading","34.31","2.73","10.08","2.75","29.73","58.58","0.96","4.17","135.0"
"Aeroflex","Steel - Medium / Small","317.84","41.75","77.75","10.06","10.96","374.85","0.12","20.5","162.4"
"Aerpace Indus","Trading","0.0","-1.66","0","0","0","0","0","0","30.91"
"Aether Industri.","Chemicals","598.17","82.49","117.53","-1.43","-36.05","2400.74","183.0","5.61","921.9"
"Affle India","Computers - Software - Medium / Small","1842.81","297.26","506.22","87.49","42.27","3283.04","182.63","15.0","1356.1"
"Affordable Robo.","Engineering","150.07","6.07","107.42","11.06","0","218.0","46.22","11.51","559.0"
"AFLOAT Enterpris","Trading","1.89","0.03","0.0","-0.1","0","5.17","0.0","0.59","12.0"
"Agarwal Float","Trading","78.91","0.19","36.74","-0.68","0","30.3","13.23","1.25","65.15"
"Agarwal Fortune","Trading","7.38","0.1","1.83","0.01","-31.46","1.05","0.12","24.69","23.25"
"Agarwal Indl.","Petrochemicals","2125.3","109.22","776.44","38.01","17.72","1119.97","360.82","23.88","1172.0"
"AGI Greenpac","Packaging","2420.88","251.33","624.87","64.58","-8.15","3356.96","616.13","14.69","703.75"
"AGI Infra","Construction","292.33","52.09","79.83","9.34","20.3","1079.52","137.68","26.24","853.95"
"Agio Paper","Paper","0.3","-1.08","0.18","-0.18","0","23.85","13.69","0","4.3"
"Agni Green","Electric Equipment","35.27","0.38","21.01","0.27","0","47.64","8.85","1.25","52.35"
"Agri-Tech India","Miscellaneous","0.16","9.74","0.0","1.4","0","102.82","0.0","10.11","198.3"
"Agro Phos India","Fertilizers","107.14","-5.26","4.96","-2.67","-80.86","97.4","28.72","-10.63","47.47"
"Agro Tech Foods.","Food - Processing - Indian","759.67","10.41","178.41","1.48","-11.67","643.0","42.0","1.72","724.5"
"AGS Transact","Computers - Hardware","1470.63","-80.09","349.18","-4.45","-17.79","2091.2","1119.54","-16.07","79.87"
"Ahasolar Technol","Trading","42.04","0.04","29.16","0.81","0","17.43","0.0","1.01","327.0"
"Ahimsa Industrie","Plastics Products","14.55","-0.93","8.06","-0.65","0","16.59","2.14","-6.65","18.9"
"Ahlada Engineers","Steel - Medium / Small","259.52","13.65","109.74","6.56","121.52","228.88","42.93","10.37","116.6"
"Ahluwalia Contr.","Construction","3855.3","374.83","1163.66","199.8","34.83","3194.6","105.03","16.41","1243.1"
"Ahm. Steelcraft","Trading","0.77","-2.29","0.02","-1.25","-96.61","23.45","0.0","-9.53","105.3"
"AI Champ.Inds.","Textiles - Jute - Yarn / Products","44.27","-39.58","9.17","-41.06","-44.59","237.36","41.54","-66.45","56.9"
"AIA Engineering","Castings & Forgings","4853.76","1136.99","1150.22","260.48","-9.69","7495.17","461.07","18.39","4224.55"
"Aik Pipes & Poly","Plastics Products","37.27","3.41","15.99","1.6","0","32.39","5.1","24.77","129.0"
"Aimco Pesticides","Pesticides / Agrochemicals - Indian","207.41","-10.05","36.74","-3.83","-11.62","149.64","18.65","-24.72","100.0"
"Aimtron","Electronics - Components","92.98","13.6","49.91","6.57","0","92.62","14.59","43.55","573.0"
"Aion-Tech Soluti","Computers - Software - Medium / Small","93.28","-2.18","23.22","-0.74","-12.01","105.24","15.51","-3.2","145.05"
"Airan","Computers - Software - Medium / Small","105.5","12.89","29.74","4.8","15.72","158.31","0.76","10.47","31.92"
"Airo Lam","Miscellaneous","205.19","8.29","50.67","1.84","-2.95","190.33","79.12","12.14","139.7"
"Ajanta Pharma","Pharmaceuticals - Indian - Formulations","4208.71","816.17","1054.08","202.72","19.53","4529.89","35.28","23.23","2286.95"
"Ajanta Soya","Miscellaneous","1022.16","4.03","240.03","2.69","-13.55","216.45","0.32","3.14","31.62"
"Ajcon Global","Finance & Investments","16.07","1.3","3.67","0.1","57.51","38.3","10.06","5.6","33.05"
"Ajel","Computers - Software - Converts","13.92","-0.75","3.52","-0.79","115.95","29.19","5.35","-0.91","15.0"
"Ajmera Realty","Construction","699.96","103.92","231.8","29.47","102.89","1963.39","807.63","12.55","680.0"
"Ajooni Biotech","Food - Processing - Indian","80.11","2.16","19.58","0.91","-52.54","47.52","2.17","5.12","5.44"
"Ajwa Fun World","Recreation / Amusement Parks","2.61","0.11","0.52","-0.09","-33.33","6.61","5.42","0","38.39"
"Akanksha Power","Electric Equipment","56.53","2.79","0","0","0","0","0","0","130.2"
"Akar Auto Indust","Auto Ancillaries","373.82","5.49","94.62","0.96","-6.94","216.24","78.07","13.07","102.5"
"Akash InfraProj.","Construction","59.52","0.23","15.23","3.14","14.6","209.69","90.78","0.27","33.48"
"AKG Exim","Trading","183.59","1.54","46.3","0.27","-20.45","78.87","14.17","2.97","22.23"
"AKI India","Leather / Leather Products","64.84","1.36","18.06","0.57","24.38","102.33","18.07","3.65","25.74"
"AKM Creations","Trading","7.33","0.26","0.17","0.18","-89.25","25.08","0.0","1.78","121.7"
"Akme Fintrade","Finance & Investments","69.58","15.8","21.22","5.61","0","390.5","177.76","9.23","118.0"
"Aksh Optifibre","Cables - Telephone","220.28","-71.31","50.29","-60.37","-36.8","332.06","102.38","-27.1","8.2"
"Akshar Spintex","Textiles - Cotton/Blended","174.96","3.46","48.13","0.96","28.72","73.86","18.98","8.19","2.62"
"AksharChem (I)","Dyes And Pigments","302.05","-18.68","81.79","-6.02","26.34","380.5","51.82","-6.95","324.8"
"Akzo Nobel","Paints / Varnishes","3961.6","426.7","973.4","108.8","2.31","2903.0","60.4","32.27","2865.6"
"Alacrity Sec.","Finance & Investments","341.2","11.45","216.28","3.88","155.51","65.29","1.98","46.54","92.9"
"Alan Scott Inds.","Textiles - Products","11.5","-3.5","4.26","-1.12","249.18","27.84","8.58","-156.33","81.3"
"Alankit","Computers - Software - Medium / Small","235.7","21.98","91.16","6.47","-38.48","531.06","43.64","9.86","21.02"
"Albert David","Pharmaceuticals - Indian - Bulk Drugs & Formln","362.46","75.42","89.06","12.91","9.38","497.99","3.32","21.72","1339.95"
"Alchemist Corp.","Trading","0.0","0.07","0.0","0.24","0","17.8","0.6","0.45","12.7"
"Alembic","Construction","157.49","268.62","49.04","72.15","32.11","2328.77","9.15","12.6","112.9"
"Alembic Pharma","Pharmaceuticals - Indian - Bulk Drugs & Formln","6228.63","615.82","1516.98","178.21","7.86","6445.58","513.16","13.34","909.65"
"Alexander Stamps","Trading","0.36","-0.1","0.13","-0.08","-13.33","17.68","0.03","-0.59","14.93"
"Alfa Ica (I)","Miscellaneous","68.49","1.68","18.39","0.6","32.97","44.6","14.04","8.02","63.5"
"Alfa Transformer","Electric Equipment","50.97","7.63","11.35","0.12","56.77","40.09","9.34","41.85","93.36"
"Alfavision Overs","Miscellaneous","3.13","0.28","0.11","0.1","118.97","178.56","135.65","0.67","11.99"
"Alfred Herbert","Finance & Investments","1.79","0.67","0.41","0.02","-6.82","128.47","0.01","0.59","1538.0"
"Algoquant Fin","Finance & Investments","64.17","9.95","21.28","4.76","7500.0","75.65","23.69","24.95","1210.5"
"Alicon Cast.","Castings & Forgings","1559.37","61.28","419.3","20.54","31.34","1230.21","331.27","11.75","1247.65"
"Alkali Metals","Chemicals","82.86","1.13","24.42","0.56","-9.22","109.37","22.57","2.74","151.7"
"Alkem Lab","Pharmaceuticals - Indian - Bulk Drugs & Formln","12667.58","1811.46","2935.82","304.48","1.14","15574.9","1540.14","19.54","4979.0"
"Alkosign","Printing & Stationery","35.69","0.78","14.43","-5.02","0","49.83","13.84","6.41","114.0"
"Alkyl Amines","Chemicals","1440.61","148.87","356.62","38.45","-13.54","1584.04","3.17","12.29","2153.05"
"All E Tech","Computers - Software - Medium / Small","116.33","19.74","30.41","5.53","27.93","151.84","0.0","17.94","252.7"
"Allcargo Gati","Trading","1697.99","6.12","405.8","-6.17","-2.37","1323.44","386.09","-4.12","112.9"
"Allcargo Logist.","Miscellaneous","13187.83","140.0","3398.33","-12.47","0.1","7318.33","1846.14","4.83","60.98"
"Allcargo Termi","Miscellaneous","732.98","44.7","181.76","9.22","-1.08","789.79","419.13","20.02","50.47"
"Alliance Integ.","Steel - Medium / Small","67.56","64.18","24.17","-18.96","84.64","344.69","258.18","0","81.02"
"Allied Digital","Computers - Software - Medium / Small","687.06","45.85","176.76","14.11","6.33","778.04","59.64","8.23","194.05"
"Allsec Tech.","Computers - Software - Medium / Small","469.37","64.0","129.71","20.73","20.12","367.62","44.65","26.94","1201.0"
"Almondz Global","Finance & Investments","116.29","34.08","45.41","6.0","70.52","318.74","23.43","9.1","137.65"
"Alok Industries","Textiles - Processing","5509.59","-846.82","1469.31","-215.93","-6.44","7406.83","26014.75","0","29.15"
"Alpa Laboratorie","Pharmaceuticals - Indian - Formulations","108.74","16.78","23.61","3.55","-19.03","182.62","5.25","11.71","85.08"
"Alpex Solar","Electric Equipment","412.6","26.56","199.84","18.94","0","216.56","35.73","54.62","955.8"
"Alphageo (India)","Miscellaneous","98.67","1.05","51.89","4.07","267.49","294.64","0.0","0.61","386.45"
"Alphalogic Indu","Engineering","47.54","2.35","27.81","1.24","0","25.47","1.61","54.27","300.0"
"Alphalogic Tech.","Computers - Software - Medium / Small","53.92","5.29","17.75","1.18","106.16","59.37","4.93","12.25","262.95"
"Alpine Housing","Construction","57.56","3.43","15.39","1.2","-16.18","140.49","16.93","4.44","126.55"
"Alps Industries","Textiles - Products","1.91","-56.24","0.0","-13.95","-100.0","4.81","828.33","0","4.07"
"Alstone Textiles","Trading","4.85","4.17","0.0","0.88","0","656.77","500.0","2.77","0.82"
"Alufluoride","Chemicals","164.71","18.14","45.71","5.49","24.08","128.33","24.15","23.3","500.95"
"Aluwind","Construction","83.43","7.54","42.07","3.82","0","60.05","12.49","44.3","67.0"
"Amal","Chemicals","86.09","1.7","21.21","0.37","22.25","106.42","23.71","2.46","370.0"
"Amalgamated Elec","Miscellaneous","0.01","-0.08","0.0","0.01","0","0.26","0.0","0","49.5"
"Amanaya Ventures","Trading","30.81","0.1","13.17","0.03","0","5.11","0.01","2.03","24.75"
"Amara Raja Ener.","Auto Ancillaries","11260.3","905.86","2796.73","228.03","14.95","8834.31","152.67","15.01","1661.1"
"Amarjothi Spg.","Textiles - Cotton/Blended","189.45","8.02","69.23","4.48","17.84","282.13","65.35","4.52","216.85"
"Amarnath Sec.","Finance & Investments","0.41","0.19","0.1","0.06","0.0","5.08","0.6","4.5","56.79"
"Amba Enterprises","Electric Equipment","282.14","6.17","77.55","1.7","16.3","62.19","11.87","18.8","238.0"
"Ambalal Sarabhai","Trading","173.43","5.68","54.35","9.02","22.3","250.23","46.11","4.22","47.17"
"Ambani Organics","Chemicals","136.68","3.04","74.17","2.93","0","175.58","55.07","-5.29","105.0"
"Ambar Protein","Solvent Extraction","337.06","3.15","89.51","-0.45","-0.54","61.38","25.51","13.4","144.2"
"Ambassador Intra","Trading","0.0","0.03","0.0","0.01","-100.0","3.67","0.44","0.94","34.74"
"Amber Enterp.","Electronics - Components","6729.27","139.47","2805.46","99.03","-6.57","6593.2","1538.95","6.69","4455.0"
"Ambica Agarbat.","Chemicals","97.85","-3.66","23.35","0.22","-33.59","213.04","66.01","-3.49","26.27"
"Ambika Cotton","Textiles - Cotton/Blended","823.46","62.98","205.79","16.09","10.51","1069.47","81.98","7.52","1653.0"
"Ambition Mica","Miscellaneous","13.26","-3.06","3.37","-1.51","18.25","34.55","32.51","0","3.09"
"Ambitious Plasto","Trading","5.96","0.06","4.87","0.02","0","1.14","0.78","0","8.27"
"Ambo Agritec","Solvent Extraction","101.84","1.37","0","0","0","0","0","0","96.4"
"Ambuja Cements","Cement - North India","33159.64","4738.01","8893.99","1525.78","11.65","65260.87","699.01","10.34","672.15"
"Amco India","Aluminium and Aluminium Products","103.59","0.83","19.98","0.25","-40.41","52.25","9.97","2.36","58.1"
"AMD Industries","Packaging","277.74","-1.67","74.92","0.09","-34.18","323.73","104.25","-1.06","72.23"
"Amerise BioScie","Finance & Investments","0.0","-0.15","0.0","0.02","0","5.39","0.0","-2.75","0.65"
"Ameya Precision","Engineering","34.03","2.96","18.98","1.84","-5.73","27.39","0.06","15.3","121.8"
"Amforge Inds.","Finance & Investments","0.0","-0.27","0.0","-0.48","0","16.82","0.71","-2.14","11.82"
"Ami Organics","Pharmaceuticals - Indian - Bulk Drugs","717.47","48.71","224.96","25.68","20.7","1095.9","216.65","9.39","1298.5"
"Amiable Logistic","Miscellaneous","24.4","1.34","12.23","0.68","73.48","13.67","2.04","19.45","88.0"
"Amic Forging","Castings & Forgings","126.15","13.83","74.63","6.72","0","92.13","3.86","69.71","1291.0"
"Amin Tannery","Leather / Leather Products","47.09","0.36","11.73","0.12","-20.74","63.13","28.67","2.92","2.28"
"Amines & Plast.","Chemicals","647.01","39.83","177.34","12.94","6.27","389.41","85.0","19.78","294.4"
"Amit Internation","Trading","0.0","0.07","0.0","-0.04","0","19.89","0.0","0.36","3.64"
"AMJ Land Holdin.","Construction","56.46","11.54","8.06","4.87","-39.99","229.68","15.01","6.84","41.91"
"Amkay Products","Healthcare","31.07","2.63","16.69","1.33","0","17.95","5.47","33.98","74.5"
"Amrapali Inds.","Trading","27300.89","0.9","5143.34","0.03","41.28","171.4","62.97","2.91","17.41"
"Amraworld Agrico","Trading","0.0","0.43","0.0","0.53","0","11.38","0.0","3.87","1.04"
"Amrutanjan Healt","Pharmaceuticals - Indian - Formulations","421.23","44.97","127.06","13.66","26.65","366.87","1.73","15.53","764.15"
"Anand Rathi Wea.","Finance & Investments","751.83","225.82","184.28","56.86","28.9","879.74","51.67","40.28","3868.05"
