"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"Himadri Special","Chemicals","4184.89","410.68","1176.95","115.18","14.39","4448.79","604.96","15.7","395.15"
"Himalaya Food","Food - Processing - Indian","47.19","4.9","12.47","1.88","-16.14","208.15","0.0","3.61","24.69"
"Himatsing. Seide","Textiles - Products","2841.45","112.82","696.87","23.74","1.05","5794.51","2897.85","7.5","145.15"
"Hind Aluminium","Power Generation And Supply","1.33","15.98","0.33","0.38","176.74","77.43","0.0","22.43","61.34"
"Hind Rectifiers","Electronics - Components","517.55","12.51","151.36","5.12","35.64","331.02","135.09","14.78","684.5"
"Hind. Unilever","Personal Care - Multinational","61896.0","10282.0","15210.0","2561.0","-0.03","78489.0","1484.0","20.24","2500.35"
"Hind.Adhesive","Packaging","304.16","16.41","71.61","3.76","32.12","180.12","60.4","24.2","405.5"
"Hind.Aeronautics","Engineering","30380.84","7595.04","14768.78","4292.04","18.2","77983.71","0.35","28.9","5275.1"
"Hind.Appliances","Trading","0.0","0.13","0.0","0.06","0","50.44","35.83","0.9","62.4"
"Hind.Bio Science","Trading","1.03","0.06","0.39","0.04","18.18","3.37","2.56","7.74","8.34"
"Hind.Composites","Auto Ancillaries","297.68","34.41","78.57","7.97","0.76","1081.27","0.12","3.6","524.25"
"Hind.Construct.","Construction","7006.71","478.16","1773.13","245.93","-42.69","9059.38","2222.54","0","47.95"
"Hind.Fluoro Carb","Petrochemicals","0.0","1.23","0.0","0.4","0","63.65","123.64","0","18.11"
"Hind.Natl.Glass","Glass & Glass Products","2552.35","163.37","621.84","-33.21","-5.99","2891.61","2263.69","0","25.07"
"Hind.Oil Explor.","Oil Drilling / Allied Services","749.13","226.43","289.61","70.61","65.41","1951.45","174.07","18.52","197.35"
"Nidhi Granites","Finance & Investments","38.51","0.68","11.38","0.09","91.91","21.82","4.47","6.38","143.0"
"Hind.Organ.Chem.","Chemicals","703.89","-54.09","182.87","-11.74","-5.66","1572.34","834.1","0","45.85"
"Hind.Tin Works","Packaging","419.35","17.04","87.77","3.02","8.29","316.13","82.46","8.65","170.0"
"Hind.Urban Infra","Electric Equipment","528.26","-35.79","160.72","-9.05","6.85","901.36","361.86","-6.46","2742.0"
"Hindalco Inds.","Aluminium and Aluminium Products","215962.0","10155.0","55994.0","3174.0","0.25","231907.0","56356.0","10.09","694.55"
"Hindcon Chemical","Chemicals","64.51","6.23","14.34","1.8","-25.51","59.57","0.0","13.39","50.6"
"Hindoo. Mills","Textiles - Products","88.27","1.27","22.66","0.91","-26.0","75.11","1.5","2.57","338.85"
"Hindprakash Indu","Dyes And Pigments","99.5","1.53","26.76","0.25","-38.75","84.7","22.35","3.37","162.15"
"Hinduja Global","Computers - Software - Medium / Small","4615.72","131.17","1098.71","87.92","2.7","11124.62","2106.67","1.64","850.25"
"Hindustan Agrig.","Miscellaneous","0.07","0.47","0.0","0.13","0","12.75","0.0","3.89","44.2"
"Hindustan Copper","Mining / Minerals / Metals","1717.0","295.41","565.37","124.31","1.0","3270.02","222.46","13.53","324.1"
"Hindustan Foods","Food - Processing - Indian","2754.71","93.02","730.96","22.94","10.8","1925.25","729.81","18.24","534.9"
"Hindustan Hardy","Auto Ancillaries","67.84","4.87","18.05","1.27","3.14","42.98","4.09","23.28","556.2"
"Hindustan Media","Entertainment / Electronic Media Software","704.09","7.98","188.05","11.1","-0.04","2245.2","94.17","0.5","97.89"
"Hindustan Motors","Automobiles - Passenger Cars","3.25","25.42","1.88","16.1","0","52.8","0.0","696.44","33.32"
"Hindustan Zinc","Mining / Minerals / Metals","28934.0","7787.0","7550.0","2042.0","-11.27","33904.0","8722.0","55.28","653.95"
"Hindusthan Udyog","Engineering","0.0","181.9","0.0","17.76","0","632.97","9.96","35.03","3.31"
"Hindware Home In","Trading","2800.03","27.63","773.67","2.73","0.76","2420.31","1046.2","4.39","443.1"
"Hipolin","Detergents / Intermediates","19.73","-0.89","5.85","-0.16","36.36","16.28","2.08","-7.5","120.6"
"Hisar Met.Inds.","Steel - Medium / Small","241.43","6.47","60.77","1.06","3.79","169.78","80.63","11.31","197.3"
"Hisar Spg. Mills","Textiles - Cotton/Blended","41.98","2.02","10.34","0.7","-2.91","26.86","3.09","9.5","55.49"
"Hit Kit Global","Trading","0.27","-2.72","0.07","-2.57","40.0","7.57","0.14","-1.94","1.18"
"Hitachi Energy","Electric Equipment","5237.49","163.78","1695.28","113.66","27.08","4707.37","213.68","12.72","13309.15"
"Hitech Corp.","Packaging","561.79","22.0","138.63","6.64","7.89","389.19","80.38","8.68","217.35"
